name,alternative_name,classification_id,category,variant_label,variant_names,alternative_variant_name,collections,brand,condition_id,sku,barcode,buy_price,market_price,sell_price,pos_sell_price,pos_sell_price_dynamic,comission,customer_comission,is_customer_comission_percentage,track_inventory,stock_qty,hold_qty,low_stock_alert,uom,uom_name,uom_converter,uom_buy_price,uom_sell_price,uom_sell_price_pos,qty_fast_moving,weight_kg,loyalty_points,published,pos_hidden,description,photo_1,photo_2,photo_3,photo_4,photo_5,photo_6,photo_7,photo_8,photo_9,photo_10,notes,tax_free_item,non_service_charge
Avocado Coffee,,2902,Coffee,,,,,,0,,,0,28000,29000,29000,0,0,0,0,0,0,0,0,,,,,,,0,0,0,1,0,,,,,,,,,,,,,No,No
Avocado juice,,2902,Tea & Juices,,,,,,,,,0,23000,24000,24000,0,0,0,0,0,0,0,0,,,,,,,0,0,0,1,0,,,,,,,,,,,,,No,No
Bakwan,,2901,Snacks,,,,,,,,,0,29000,30000,30000,0,0,0,0,0,0,0,0,,,,,,,0,0,0,1,0,,,,,,,,,,,,,No,No
Bihun goreng seafood,,2901,Mie,,,,,,,,,0,36000,37000,37000,0,0,0,0,0,0,0,0,,,,,,,0,0,0,1,0,,,,,,,,,,,,,No,No
Bihun goreng telur,,2901,Mie,,,,,,,,,0,24000,25000,25000,0,0,0,0,0,0,0,0,,,,,,,0,0,0,1,0,,,,,,,,,,,,,No,No
Bihun kuah 13e cafe,,2901,Mie,tipe mie,kwetiau,,,,,,,0,32000,34000,34000,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,,,,,,,,,,,,,No,No
Bihun kuah 13e cafe,,2901,Mie,tipe mie,bihun,,,,,,,0,32000,34000,34000,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,,,,,,,,,,,,,No,No
Biscuit Frappe,,2902,Non coffee,,,,,,,,,0,31000,32000,32000,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,,,,,,,,,,,,,No,No
Blackpepper Ricebowl,,2901,Ricebowl,,,,,,,,,0,44000,37000,37000,0,0,0,0,0,0,0,0,,,,,,,0,0,0,1,0,,,,,,,,,,,,,No,No
Blue Eagle,,2902,Non coffee,,,,,,,,,0,23000,24000,24000,0,0,0,0,0,0,0,0,,,,,,,0,0,0,1,0,,,,,,,,,,,,,No,No
Bolognese,,2901,Western,Pasta,Fettuccine,,,,,,,0,43000,44000,44000,0,0,0,0,0,0,0,0,,,,,,,0,0,0,1,0,,,,,,,,,,,,,No,No
Bolognese,,2901,Western,Pasta,Spaghetti,,,,,,,0,43000,44000,44000,0,0,0,0,0,0,0,0,,,,,,,0,0,0,1,0,,,,,,,,,,,,,No,No
Bubur Takjil,,2901,Snacks,,,,,,0,,,0,0,0,15000,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,,,,,,,,,,,,,No,No
Butter Chicken Ricebowl,,2901,Ricebowl,,,,,,,,,0,44000,35000,35000,0,0,0,0,0,0,0,0,,,,,,,0,0,0,1,0,,,,,,,,,,,,,No,No
Butter Origin Toast,,2901,Snacks,,,,,,N,,,0,0,23000,23000,0,0,0,0,0,0,0,0,,,,,,,0,1,0,0,0,,,,,,,,,,,,,No,No
Calamansi Juice,,2902,Tea & Juices,,,,,,,,,0,19000,20000,20000,0,0,0,0,0,0,0,0,,,,,,,0,0,0,1,0,,,,,,,,,,,,,No,No
Cappuccino,,2902,Coffee,Es,Ice,,,,,,,0,25000,26000,26000,0,0,0,0,0,0,0,0,,,,,,,0,0,0,1,0,,,,,,,,,,,,,No,No
Cappuccino,,2902,Coffee,Es,Hot,,,,,,,0,25000,26000,26000,0,0,0,0,0,0,0,0,,,,,,,0,0,0,1,0,,,,,,,,,,,,,No,No
Caramel Blossom,,2902,Coffee,Es,Ice,,,,,,,0,25000,26000,26000,0,0,0,0,0,0,0,0,,,,,,,0,0,0,1,0,,,,,,,,,,,,,No,No
Caramel Blossom,,2902,Coffee,Es,Hot,,,,,,,0,25000,26000,26000,0,0,0,0,0,0,0,0,,,,,,,0,0,0,1,0,,,,,,,,,,,,,No,No
Caramel machiato,,2902,Coffee,Es,Ice,,,,,,,0,31000,32000,32000,0,0,0,0,0,0,0,0,,,,,,,0,0,0,1,0,,,,,,,,,,,,,No,No
Caramel machiato,,2902,Coffee,Es,Hot,,,,,,,0,31000,32000,32000,0,0,0,0,0,0,0,0,,,,,,,0,0,0,1,0,,,,,,,,,,,,,No,No
Carbonara,,2901,Western,Pasta,Fettuccine,,,,,,,0,43000,44000,44000,0,0,0,0,0,0,0,0,,,,,,,0,0,0,1,0,,,,,,,,,,,,,No,No
Carbonara,,2901,Western,Pasta,Spaghetti,,,,,,,0,43000,44000,44000,0,0,0,0,0,0,0,0,,,,,,,0,0,0,1,0,,,,,,,,,,,,,No,No
Chicken Nuggets,,2901,Snacks,,,,,,,,,0,25000,26000,26000,0,0,0,0,0,0,0,0,,,,,,,0,0,0,1,0,,,,,,,,,,,,,No,No
Chicken Steak,,2901,Western,Sauce,Blackpepper,,,,,,,0,48000,49000,49000,0,0,0,0,0,0,0,0,,,,,,,0,0,0,1,0,,,,,,,,,,,,,No,No
Chicken Steak,,2901,Western,Sauce,Spicy,,,,,,,0,48000,49000,49000,0,0,0,0,0,0,0,0,,,,,,,0,0,0,1,0,,,,,,,,,,,,,No,No
Chicken Steak,,2901,Western,Sauce,Mushroom,,,,,,,0,48000,49000,49000,0,0,0,0,0,0,0,0,,,,,,,0,0,0,1,0,,,,,,,,,,,,,No,No
Chicken Wings,,2901,Snacks,,,,,,,,,0,28000,29000,29000,0,0,0,0,0,0,0,0,,,,,,,0,0,0,1,0,,,,,,,,,,,,,No,No
choco cheese toast 2,,2901,Snacks,,,,,,,,,0,22000,23000,23000,0,0,0,0,0,0,0,0,,,,,,,0,0,0,1,0,,,,,,,,,,,,,No,No
Choco Lava Cake,,2901,Snacks,,,,,,0,,,0,0,39000,39000,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,,,,,,,,,,,,,No,No
Choco Red,,2902,Non coffee,,,,,,,,,0,25000,26000,26000,0,0,0,0,0,0,0,0,,,,,,,0,0,0,1,0,,,,,,,,,,,,,No,No
Chocolate,,2902,Non coffee,Es,Ice,,,,,,,0,25000,26000,26000,0,0,0,0,0,0,0,0,,,,,,,0,0,0,1,0,,,,,,,,,,,,,No,No
Chocolate,,2902,Non coffee,Es,Hot,,,,,,,0,25000,26000,26000,0,0,0,0,0,0,0,0,,,,,,,0,0,0,1,0,,,,,,,,,,,,,No,No
Cinnamon French Toast,,2901,Snacks,,,,,,N,,,0,0,36000,36000,0,0,0,0,0,0,0,0,,,,,,,0,1,0,0,0,,,,,,,,,,,,,No,No
Coffee Latte,,2902,Coffee,Es,Ice,,,,,,,0,25000,26000,26000,0,0,0,0,0,0,0,0,,,,,,,0,0,0,1,0,,,,,,,,,,,,,No,No
Coffee Latte,,2902,Coffee,Es,Hot,,,,,,,0,25000,26000,26000,0,0,0,0,0,0,0,0,,,,,,,0,0,0,1,0,,,,,,,,,,,,,No,No
Creme Brulee Toast,,2901,Snacks,,,,,,N,,,0,26000,27000,27000,0,0,0,0,0,0,0,0,,,,,,,0,1,0,0,0,,,,,,,,,,,,,No,No
Cumi Goreng Tepung,,2901,Snacks,,,,,,N,,,0,0,23000,23000,0,0,0,0,0,0,0,0,,,,,,,0,1,0,0,0,,,,,,,,,,,,,No,No
Double presso,,2902,Coffee,,,,,,,,,0,16000,17000,17000,0,0,0,0,0,0,0,0,,,,,,,0,0,0,1,0,,,,,,,,,,,,,No,No
Dragonfruit Juice,,2902,Tea & Juices,,,,,,N,,,0,0,25000,25000,0,0,0,0,0,0,0,0,,,,,,,0,1,0,0,0,,,,,,,,,,,,,No,No
Egg & Beef Toast,,2901,Snacks,,,,,,N,,,0,31000,32000,32000,0,0,0,0,0,0,0,0,,,,,,,0,1,0,0,0,,,,,,,,,,,,,No,No
Ekstra Ayam 1 potong,,2901,makanan,,,,,,0,,,0,10000,18000,18000,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,,,,,,,,,,,,,No,No
ekstra sambal,,2901,makanan,,,,,,0,,,0,5000,8000,8000,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,,,,,,,,,,,,,No,No
Ekstra shot espresso,,2902,Coffee,,,,,,,,,0,8000,9000,9000,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,,,,,,,,,,,,,No,No
Ekstra Telur,,2901,Snacks,,,,,,,,,0,7000,7000,7000,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,,,,,,,,,,,,,No,No
Es batu,,2902,minuman,,,,,,,,,0,2000,2000,2000,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,,,,,,,,,,,,,No,No
Es Krim 1 Scoop,,2901,Snacks,,,,,,N,,,0,0,10000,10000,0,0,0,0,0,0,0,0,,,,,,,0,1,0,0,0,,,,,,,,,,,,,No,No
Fatamorgana,,2902,Non coffee,,,,,,,,,0,29000,30000,30000,0,0,0,0,0,0,0,0,Pcs,,,,,,0,0,0,1,0,,,,,,,,,,,,,No,No
Flavored Chocolate,,2902,Non coffee,"Es,Flavor","Hot,Vanilla",,,,,,,0,29000,30000,30000,0,0,0,0,0,0,0,0,,,,,,,0,0,0,1,0,,,,,,,,,,,,,No,No
Flavored Chocolate,,2902,Non coffee,"Es,Flavor","Ice,Caramel",,,,,,,0,29000,30000,30000,0,0,0,0,0,0,0,0,,,,,,,0,0,0,1,0,,,,,,,,,,,,,No,No
Flavored Chocolate,,2902,Non coffee,"Es,Flavor","Hot,Caramel",,,,,,,0,29000,30000,30000,0,0,0,0,0,0,0,0,,,,,,,0,0,0,1,0,,,,,,,,,,,,,No,No
Flavored Chocolate,,2902,Non coffee,"Es,Flavor","Ice,Hazelnut",,,,,,,0,29000,30000,30000,0,0,0,0,0,0,0,0,,,,,,,0,0,0,1,0,,,,,,,,,,,,,No,No
Flavored Chocolate,,2902,Non coffee,"Es,Flavor","Hot,Hazelnut",,,,,,,0,29000,30000,30000,0,0,0,0,0,0,0,0,,,,,,,0,0,0,1,0,,,,,,,,,,,,,No,No
Flavored Chocolate,,2902,Non coffee,"Es,Flavor","Ice,Vanilla",,,,,,,0,29000,30000,30000,0,0,0,0,0,0,0,0,,,,,,,0,0,0,1,0,,,,,,,,,,,,,No,No
Flavored Latte,,2902,Coffee,"Es,Flavor","Hot,Caramel",,,,,,,0,29000,30000,30000,0,0,0,0,0,0,0,0,,,,,,,0,0,0,1,0,,,,,,,,,,,,,No,No
Flavored Latte,,2902,Coffee,"Es,Flavor","Ice,Hazelnut",,,,,,,0,29000,30000,30000,0,0,0,0,0,0,0,0,,,,,,,0,0,0,1,0,,,,,,,,,,,,,No,No
Flavored Latte,,2902,Coffee,"Es,Flavor","Hot,Hazelnut",,,,,,,0,29000,30000,30000,0,0,0,0,0,0,0,0,,,,,,,0,0,0,1,0,,,,,,,,,,,,,No,No
Flavored Latte,,2902,Coffee,"Es,Flavor","Ice,Butterscotch",,,,,,,0,29000,30000,30000,0,0,0,0,0,0,0,0,,,,,,,0,0,0,1,0,,,,,,,,,,,,,No,No
Flavored Latte,,2902,Coffee,"Es,Flavor","Hot,Butterscotch",,,,,,,0,29000,30000,30000,0,0,0,0,0,0,0,0,,,,,,,0,0,0,1,0,,,,,,,,,,,,,No,No
Flavored Latte,,2902,Coffee,"Es,Flavor","Ice,Mocha",,,,,,,0,29000,30000,30000,0,0,0,0,0,0,0,0,,,,,,,0,0,0,1,0,,,,,,,,,,,,,No,No
Flavored Latte,,2902,Coffee,"Es,Flavor","Hot,Mocha",,,,,,,0,29000,30000,30000,0,0,0,0,0,0,0,0,,,,,,,0,0,0,1,0,,,,,,,,,,,,,No,No
Flavored Latte,,2902,Coffee,"Es,Flavor","Ice,Caramel",,,,,,,0,29000,30000,30000,0,0,0,0,0,0,0,0,,,,,,,0,0,0,1,0,,,,,,,,,,,,,No,No
Flavored Latte,,2902,Coffee,"Es,Flavor","Hot,Vanilla",,,,,,,0,29000,30000,30000,0,0,0,0,0,0,0,0,,,,,,,0,0,0,1,0,,,,,,,,,,,,,No,No
Flavored Latte,,2902,Coffee,"Es,Flavor","Ice,Vanilla",,,,,,,0,0,30000,30000,0,0,0,0,0,0,0,0,,,,,,,0,0,0,1,0,,,,,,,,,,,,,No,No
french fries,,2901,Snacks,,,,,,,,,0,23000,24000,24000,0,0,0,0,0,0,0,0,,,,,,,0,0,0,1,0,,,,,,,,,,,,,No,No
Freshmilk,,2902,Non coffee,Es,Ice,,,,,,,0,19000,20000,20000,0,0,0,0,0,0,0,0,,,,,,,0,0,0,1,0,,,,,,,,,,,,,No,No
Freshmilk,,2902,Non coffee,Es,Hot,,,,,,,0,19000,20000,20000,0,0,0,0,0,0,0,0,,,,,,,0,0,0,1,0,,,,,,,,,,,,,No,No
Gordon Blue,,2901,Western,Sauce,Blackpepper,,,,,,,0,48000,49000,49000,0,0,0,0,0,0,0,0,,,,,,,0,0,0,1,0,,,,,,,,,,,,,No,No
Gordon Blue,,2901,Western,Sauce,Spicy,,,,,,,0,48000,49000,49000,0,0,0,0,0,0,0,0,,,,,,,0,0,0,1,0,,,,,,,,,,,,,No,No
Gordon Blue,,2901,Western,Sauce,Mushroom,,,,,,,0,48000,49000,49000,0,0,0,0,0,0,0,0,,,,,,,0,0,0,1,0,,,,,,,,,,,,,No,No
Green tea,,2902,Tea & Juices,Es,Ice,,,,,,,0,21000,22000,22000,0,0,0,0,0,0,0,0,,,,,,,0,0,0,1,0,,,,,,,,,,,,,No,No
Green tea,,2902,Tea & Juices,Es,Hot,,,,,,,0,21000,22000,22000,0,0,0,0,0,0,0,0,,,,,,,0,0,0,1,0,,,,,,,,,,,,,No,No
Grenadine Tea,,2902,Tea & Juices,,,,,,,,,0,23000,24000,24000,0,0,0,0,0,0,0,0,,,,,,,0,0,0,1,0,,,,,,,,,,,,,No,No
Honey Chicken Ricebowl,,2901,Ricebowl,,,,,,,,,0,44000,44000,44000,0,0,0,0,0,0,0,0,,,,,,,0,0,0,1,0,,,,,,,,,,,,,No,No
Honey Freshmilk,,2902,Non coffee,,,,,,,,,0,19000,25000,25000,0,0,0,0,0,0,0,0,,,,,,,0,0,0,1,0,,,,,,,,,,,,,No,No
Honey Lemon,,2902,Tea & Juices,Es,Ice,,,,,,,0,23000,24000,24000,0,0,0,0,0,0,0,0,,,,,,,0,0,0,1,0,,,,,,,,,,,,,No,No
Honey Lemon,,2902,Tea & Juices,Es,Hot,,,,,,,0,23000,24000,24000,0,0,0,0,0,0,0,0,,,,,,,0,0,0,1,0,,,,,,,,,,,,,No,No
Iced Peanut Butter,,2902,Coffee,,,,,,,,,0,29000,30000,30000,0,0,0,0,0,0,0,0,Pcs,,,,,,0,0,0,1,0,,,,,,,,,,,,,No,No
Iced Sundali Country,,2902,Coffee,,,,,,,,,0,25000,26000,26000,0,0,0,0,0,0,0,0,Pcs,,,,,,0,0,0,1,0,,,,,,,,,,,,,No,No
Indomie bangladesh 2,,2901,Mie,Ukuran,jumbo,,,,,,,0,30000,31000,31000,0,0,0,0,0,0,0,0,,,,,,,0,0,0,1,0,,,,,,,,,,,,,No,No
Indomie bangladesh 2,,2901,Mie,Ukuran,Biasa,,,,,,,0,22000,23000,23000,0,0,0,0,0,0,0,0,,,,,,,0,0,0,1,0,,,,,,,,,,,,,No,No
Indomie goreng 2,,2901,Mie,ukuran,jumbo,,,,0,,,0,30000,31000,31000,0,0,0,0,0,0,0,0,,,,,,,0,0,0,1,0,,,,,,,,,,,,,No,No
Indomie goreng 2,,2901,Mie,ukuran,biasa,,,,0,,,0,22000,23000,23000,0,0,0,0,0,0,0,0,,,,,,,0,0,0,1,0,,,,,,,,,,,,,No,No
Indomie kuah 2,,2901,Mie,ukuran,jumbo,,,,,,,0,28000,29000,29000,0,0,0,0,0,0,0,0,,,,,,,0,0,0,1,0,,,,,,,,,,,,,No,No
Indomie kuah 2,,2901,Mie,ukuran,biasa,,,,,,,0,20000,21000,21000,0,0,0,0,0,0,0,0,,,,,,,0,0,0,1,0,,,,,,,,,,,,,No,No
Infused water,,2902,Non coffee,,,,,,,,,0,8000,8000,8000,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,,,,,,,,,,,,,No,No
Jade Matcha,,2902,Matcha,,,,,,,,,0,29000,30000,30000,0,0,0,0,0,0,0,0,,,,,,,0,0,0,1,0,,,,,,,,,,,,,No,No
Jasmine Tea,,2902,Tea & Juices,Es,Ice,,,,,,,0,15000,16000,16000,0,0,0,0,0,0,0,0,,,,,,,0,0,0,1,0,,,,,,,,,,,,,No,No
Jasmine Tea,,2902,Tea & Juices,Es,Hot,,,,,,,0,15000,16000,16000,0,0,0,0,0,0,0,0,,,,,,,0,0,0,1,0,,,,,,,,,,,,,No,No
kaya butter toast 2,,2901,Snacks,,,,,,,,,0,22000,23000,23000,0,0,0,0,0,0,0,0,,,,,,,0,0,0,1,0,,,,,,,,,,,,,No,No
Kwetiau goreng seafood,,2901,Mie,,,,,,,,,0,36000,37000,37000,0,0,0,0,0,0,0,0,,,,,,,0,0,0,1,0,,,,,,,,,,,,,No,No
Kwetiau goreng telur,,2901,Mie,,,,,,,,,0,24000,25000,25000,0,0,0,0,0,0,0,0,,,,,,,0,0,0,1,0,,,,,,,,,,,,,No,No
Kwetiau Kangkung Terasi,,2901,Mie,,,,,,,,,0,36000,37000,37000,0,0,0,0,0,0,0,0,,,,,,,0,0,0,1,0,,,,,,,,,,,,,No,No
Kwetiau Siram Seafood,,2901,Mie,,,,,,,,,0,36000,37000,37000,0,0,0,0,0,0,0,0,,,,,,,0,0,0,1,0,,,,,,,,,,,,,No,No
Lemon tea,,2902,Tea & Juices,Es,Ice,,,,,,,0,17000,18000,18000,0,0,0,0,0,0,0,0,,,,,,,0,0,0,1,0,,,,,,,,,,,,,No,No
Lemon tea,,2902,Tea & Juices,Es,Hot,,,,,,,0,17000,18000,18000,0,0,0,0,0,0,0,0,,,,,,,0,0,0,1,0,,,,,,,,,,,,,No,No
Lumpia Udang,,2901,Snacks,,,,,,N,,,0,0,23000,23000,0,0,0,0,0,0,0,0,,,,,,,0,1,0,0,0,,,,,,,,,,,,,No,No
Lumpia Udang Keju,,2901,Snacks,,,,,,N,,,0,0,27000,27000,0,0,0,0,0,0,0,0,,,,,,,0,1,0,0,0,,,,,,,,,,,,,No,No
Lychee mocktail,,2902,Non coffee,,,,,,0,,,0,23000,24000,24000,0,0,0,0,0,0,0,0,,,,,,,0,0,0,1,0,,,,,,,,,,,,,No,No
Lychee tea,,2902,Tea & Juices,Es,Ice,,,,,,,0,23000,24000,24000,0,0,0,0,0,0,0,0,,,,,,,0,0,0,1,0,,,,,,,,,,,,,No,No
Lychee tea,,2902,Tea & Juices,Es,Hot,,,,,,,0,23000,24000,24000,0,0,0,0,0,0,0,0,,,,,,,0,0,0,1,0,,,,,,,,,,,,,No,No
Lychee yakult,,2902,Non coffee,,,,,,,,,0,23000,24000,24000,0,0,0,0,0,0,0,0,,,,,,,0,0,0,1,0,,,,,,,,,,,,,No,No
Mango juice,,2902,Tea & Juices,,,,,,,,,0,23000,24000,24000,0,0,0,0,0,0,0,0,,,,,,,0,0,0,1,0,,,,,,,,,,,,,No,No
Mango Mocktail,,2902,Non coffee,,,,,,0,,,0,23000,24000,24000,0,0,0,0,0,0,0,0,,,,,,,0,0,0,1,0,,,,,,,,,,,,,No,No
Mango yakult,,2902,Non coffee,,,,,,,,,0,23000,24000,24000,0,0,0,0,0,0,0,0,,,,,,,0,0,0,1,0,,,,,,,,,,,,,No,No
Martabak Goreng,,2901,Snacks,,,,,,N,,,0,0,15000,15000,0,0,0,0,0,0,0,0,,,,,,,0,1,0,0,0,,,,,,,,,,,,,No,No
Matcha Elixir,,2902,Matcha,,,,,,,,,0,28000,29000,29000,0,0,0,0,0,0,0,0,,,,,,,0,0,0,1,0,,,,,,,,,,,,,No,No
Matcha Latte,,2902,Matcha,Es,Hot,,,,,,,0,27000,28000,28000,0,0,0,0,0,0,0,0,,,,,,,0,0,0,1,0,,,,,,,,,,,,,No,No
Matcha Latte,,2902,Matcha,Es,Ice,,,,,,,0,27000,28000,28000,0,0,0,0,0,0,0,0,,,,,,,0,0,0,1,0,,,,,,,,,,,,,No,No
Mie goreng indonesia,,2901,Mie,,,,,,,,,0,33000,34000,34000,0,0,0,0,0,0,0,0,,,,,,,0,0,0,1,0,,,,,,,,,,,,,No,No
Mie goreng seafood,,2901,Mie,,,,,,,,,0,36000,37000,37000,0,0,0,0,0,0,0,0,,,,,,,0,0,0,1,0,,,,,,,,,,,,,No,No
Mie Goreng Telur,,2901,Mie,,,,,,,,,0,24000,25000,25000,0,0,0,0,0,0,0,0,,,,,,,0,0,0,1,0,,,,,,,,,,,,,No,No
Mie kangkung belacan,,2901,Mie,,,,,,,,,0,33000,34000,34000,0,0,0,0,0,0,0,0,,,,,,,0,0,0,1,0,,,,,,,,,,,,,No,No
Mie Tektek,,2901,Mie,,,,,,,,,1639.62,33000,34000,34000,0,0,0,0,0,0,0,0,,,,,,,0,0,0,1,0,,,,,,,,,,,,,No,No
Minefields,,2902,Coffee,,,,,,N,,,0,0,28000,28000,0,0,0,0,0,0,0,0,,,,,,,0,1,0,0,0,,,,,,,,,,,,,No,No
Nasi ayam andaliman,,2901,Nasi,,,,,,,,,0,45000,46000,46000,0,0,0,0,0,0,0,0,,,,,,,0,0,0,1,0,,,,,,,,,,,,,No,No
Nasi Ayam Bakar 13E,,2901,Nasi,,,,,,,,,0,34000,39000,39000,0,0,0,0,0,0,0,0,,,,,,,0,0,0,1,0,,,,,,,,,,,,,No,No
Nasi ayam geprek,,2901,Nasi,,,,,,,,,0,34000,39000,39000,0,0,0,0,0,0,0,0,,,,,,,0,0,0,1,0,,,,,,,,,,,,,No,No
Nasi ayam penyet cabe ijo,,2901,Nasi,,,,,,,,,2304.85,34000,39000,39000,0,0,0,0,0,0,0,0,,,,,,,0,0,0,1,0,,,,,,,,,,,,,No,No
Nasi Campur,,2901,Nasi,Lauk,Telur,,,,N,,,0,0,20000,20000,0,0,0,0,0,0,0,0,,,,,,,0,1,0,0,0,,,,,,,,,,,,,No,No
Nasi Campur,,2901,Nasi,Lauk,Ayam,,,,N,,,0,0,39000,39000,0,0,0,0,0,0,0,0,,,,,,,0,1,0,0,0,,,,,,,,,,,,,No,No
Nasi Campur,,2901,Nasi,Lauk,Ikan,,,,N,,,0,0,39000,39000,0,0,0,0,0,0,0,0,,,,,,,0,1,0,0,0,,,,,,,,,,,,,No,No
Nasi Campur,,2901,Nasi,Lauk,Komplit,,,,N,,,0,0,45000,45000,0,0,0,0,0,0,0,0,,,,,,,0,1,0,0,0,,,,,,,,,,,,,No,No
Nasi capcai seafood,,2901,Nasi,,,,,,,,,0,39000,41000,41000,0,0,0,0,0,0,0,0,,,,,,,0,0,0,1,0,,,,,,,,,,,,,No,No
Nasi goreng cabe ijo,,2901,Nasi Goreng,,,,,,,,,0,29000,31000,31000,0,0,0,0,0,0,0,0,,,,,,,0,0,0,1,0,,,,,,,,,,,,,No,No
nasi goreng kampung,,2901,Nasi Goreng,,,,,,,,,0,29000,31000,31000,0,0,0,0,0,0,0,0,,,,,,,0,0,0,1,0,,,,,,,,,,,,,No,No
Nasi Goreng Special Katsu 13E,,2901,Nasi Goreng,,,,,,0,,,0,45000,46000,46000,0,0,0,0,0,0,0,0,,,,,,,0,0,0,1,0,,,,,,,,,,,,,No,No
nasi goreng telur,,2901,Nasi Goreng,,,,,,,,,0,24000,25000,25000,0,0,0,0,0,0,0,0,,,,,,,0,0,0,1,0,,,,,,,,,,,,,No,No
Nasi Goreng Terasi,,2901,Nasi Goreng,,,,,,,,,0,29000,31000,31000,0,0,0,0,0,0,0,0,,,,,,,0,0,0,1,0,,,,,,,,,,,,,No,No
nasi putih,,2901,makanan,,,,,,,,,0,6000,7000,7000,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,,,,,,,,,,,,,No,No
Niko Neko Creamy Matcha,,2902,Matcha,,,,,,N,,,0,0,79000,79000,0,0,0,0,0,0,0,0,,,,,,,0,1,0,0,0,,,,,,,,,,,,,No,No
Orange juice,,2902,Tea & Juices,,,,,,,,,0,23000,24000,24000,0,0,0,0,0,0,0,0,,,,,,,0,0,0,1,0,,,,,,,,,,,,,No,No
Orange Sunrise,,2902,Coffee,,,,,,,,,0,23000,24000,24000,0,0,0,0,0,0,0,0,,,,,,,0,0,0,1,0,,,,,,,,,,,,,No,No
Paket Bundling Hot Sanger Presso,,9901,paket,Dessert,Pisang Goreng Coklat Keju,,,,N,,,0,0,35000,35000,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,,,,,,,,,,,,,No,No
Paket Bundling Hot Sanger Presso,,9901,paket,Dessert,Choco Cheese Toast,,,,N,,,0,0,34000,34000,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,,,,,,,,,,,,,No,No
Paket Bundling Hot Sanger Presso,,9901,paket,Dessert,Bakwan Udang,,,,N,,,0,0,40000,40000,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,,,,,,,,,,,,,No,No
Paket Bundling Hot Sanger Presso,,9901,paket,Dessert,French Fries,,,,N,,,0,0,35000,35000,0,0,0,0,0,0,0,0,,,,,,,0,1,0,0,0,,,,,,,,,,,,,No,No
